atracao_id,dia_semana_id,horario,aberto
0,2,09:00 a 17:00,1
0,3,09:00 a 17:00,1
0,4,09:00 a 17:00,1
0,5,09:00 a 14:00,1
0,6,Fechado,0
0,0,Fechado,0
0,1,09:00 a 17:00,1
1,2,09:00 a 17:00,1
1,3,09:00 a 17:00,1
1,4,09:00 a 17:00,1
1,5,Fechado,0
1,6,Fechado,0
1,0,Fechado,0
1,1,09:00 a 20:00,1
2,2,09:00 a 18:00,1
2,3,09:00 a 18:00,1
2,4,09:00 a 18:00,1
2,5,09:00 a 18:00,1
2,6,10:00 a 18:00,1
2,0,Fechado,0
2,1,09:00 a 18:00,1
3,2,10:00 a 18:00,1
3,3,10:00 a 18:00,1
3,4,10:00 a 18:00,1
3,5,09:00 a 19:00,1
3,6,09:00 a 18:00,1
3,0,Fechado,0
3,1,10:00 a 18:00,1
4,2,08:00 a 17:00,1
4,3,08:00 a 17:00,1
4,4,08:00 a 17:00,1
4,5,09:00 a 13:00,1
4,6,Fechado,0
4,0,08:00 a 17:00,1
4,1,08:00 a 17:00,1
5,2,09:00 a 17:00,1
5,3,09:00 a 17:00,1
5,4,09:00 a 17:00,1
5,5,09:00 a 17:00,1
5,6,09:00 a 17:00,1
5,0,Fechado,0
5,1,Fechado,0
6,2,11:00 a 18:00,1
6,3,11:00 a 18:00,1
6,4,11:00 a 18:00,1
6,5,11:00 a 18:00,1
6,6,11:00 a 18:00,1
6,0,Fechado,0
6,1,Fechado,0
7,2,08:30 a 16:30,1
7,3,08:30 a 16:30,1
7,4,08:30 a 16:30,1
7,5,09:00 a 14:30,1
7,6,Fechado,0
7,0,08:30 a 16:30,1
7,1,08:30 a 16:30,1
8,2,10:00 a 18:00,1
8,3,10:00 a 18:00,1
8,4,10:00 a 18:00,1
8,5,13:00 a 18:00,1
8,6,13:00 a 18:00,1
8,0,10:00 a 18:00,1
8,1,Fechado,0
9,2,10:00 a 16:00,1
9,3,10:00 a 16:00,1
9,4,10:00 a 16:00,1
9,5,Fechado,0
9,6,Fechado,0
9,0,10:00 a 16:00,1
9,1,10:00 a 16:00,1
10,2,10:00 a 18:00,1
10,3,10:00 a 18:00,1
10,4,10:00 a 18:00,1
10,5,10:00 a 18:00,1
10,6,10:00 a 18:00,1
10,0,10:00 a 18:00,1
10,1,Fechado,0
11,2,10:00 a 20:00,1
11,3,10:00 a 20:00,1
11,4,10:00 a 20:00,1
11,5,13:00 a 20:00,1
11,6,Fechado,0
11,0,10:00 a 20:00,1
11,1,10:00 a 20:00,1
12,2,10:00 a 18:00,1
12,3,10:00 a 18:00,1
12,4,10:00 a 18:00,1
12,5,10:00 a 18:00,1
12,6,10:00 a 18:00,1
12,0,Fechado,0
12,1,10:00 a 18:00,1
13,2,09:00 a 17:00,1
13,3,09:00 a 17:00,1
13,4,09:00 a 17:00,1
13,5,09:00 a 17:00,1
13,6,09:00 a 17:00,1
13,0,Fechado,0
13,1,09:00 a 17:00,1
14,2,10:00 a 20:00,1
14,3,10:00 a 20:00,1
14,4,10:00 a 20:00,1
14,5,10:00 a 20:00,1
14,6,10:00 a 20:00,1
14,0,Fechado,0
14,1,10:00 a 20:00,1
15,2,09:00 a 17:00,1
15,3,09:00 a 17:00,1
15,4,09:00 a 17:00,1
15,5,09:00 a 17:00,1
15,6,09:00 a 17:00,1
15,0,Fechado,0
15,1,09:00 a 17:00,1
16,2,10:00 a 21:00,1
16,3,10:00 a 21:00,1
16,4,10:00 a 21:00,1
16,5,13:00 a 21:00,1
16,6,13:00 a 20:00,1
16,0,Fechado,0
16,1,10:00 a 21:00,1
17,2,Atendimento 24 horas,1
17,3,Atendimento 24 horas,1
17,4,Atendimento 24 horas,1
17,5,Atendimento 24 horas,1
17,6,Atendimento 24 horas,1
17,0,Atendimento 24 horas,1
17,1,Atendimento 24 horas,1
18,2,09:00 a 18:00,1
18,3,09:00 a 18:00,1
18,4,09:00 a 18:00,1
18,5,Fechado,0
18,6,Fechado,0
18,0,09:00 a 18:00,1
18,1,09:00 a 18:00,1
19,2,09:00 a 17:00,1
19,3,09:00 a 17:00,1
19,4,09:00 a 17:00,1
19,5,09:00 a 17:00,1
19,6,09:00 a 17:00,1
19,0,Fechado,0
19,1,09:00 a 17:00,1
21,2,10:00 a 17:00,1
21,3,10:00 a 17:00,1
21,4,10:00 a 17:00,1
21,5,Fechado,0
21,6,Fechado,0
21,0,10:00 a 17:00,1
21,1,10:00 a 17:00,1
22,2,09:00 a 17:00,1
22,3,09:00 a 17:00,1
22,4,09:00 a 17:00,1
22,5,09:00 a 17:00,1
22,6,09:00 a 17:00,1
22,0,Fechado,0
22,1,09:00 a 17:00,1
23,2,09:00 a 17:00,1
23,3,09:00 a 17:00,1
23,4,09:00 a 17:00,1
23,5,09:00 a 17:00,1
23,6,09:00 a 17:00,1
23,0,Fechado,0
23,1,09:00 a 17:00,1
24,2,09:00 a 17:00,1
24,3,09:00 a 17:00,1
24,4,09:00 a 17:00,1
24,5,09:00 a 16:00,1
24,6,09:00 a 16:00,1
24,0,Fechado,0
24,1,09:00 a 17:00,1
25,2,08:00 a 17:00,1
25,3,08:00 a 17:00,1
25,4,08:00 a 17:00,1
25,5,Fechado,0
25,6,Fechado,0
25,0,08:00 a 17:00,1
25,1,08:00 a 17:00,1
26,2,09:00 a 16:45,1
26,3,09:00 a 16:45,1
26,4,09:00 a 16:45,1
26,5,09:00 a 16:45,1
26,6,Fechado,0
26,0,Fechado,0
26,1,09:00 a 16:45,1
27,2,Atendimento 24 horas,1
27,3,Atendimento 24 horas,1
27,4,Atendimento 24 horas,1
27,5,Atendimento 24 horas,1
27,6,Atendimento 24 horas,1
27,0,Atendimento 24 horas,1
27,1,Atendimento 24 horas,1
28,2,09:00 a 17:00,1
28,3,09:00 a 17:00,1
28,4,09:00 a 17:00,1
28,5,09:00 a 17:00,1
28,6,09:00 a 17:00,1
28,0,Fechado,0
28,1,09:00 a 17:00,1
30,2,11:00 a 17:00,1
30,3,11:00 a 17:00,1
30,4,11:00 a 17:00,1
30,5,11:00 a 17:00,1
30,6,11:00 a 17:00,1
30,0,11:00 a 17:00,1
30,1,11:00 a 17:00,1
31,2,12:00 a 18:00,1
31,3,12:00 a 18:00,1
31,4,12:00 a 18:00,1
31,5,10:00 a 18:00,1
31,6,10:00 a 18:00,1
31,0,Fechado,0
31,1,Fechado,0
32,2,07:00 a 22:00,1
32,3,07:00 a 22:00,1
32,4,07:00 a 22:00,1
32,5,07:00 a 22:00,1
32,6,07:00 a 22:00,1
32,0,07:00 a 22:00,1
32,1,07:00 a 22:00,1
33,2,Atendimento 24 horas,1
33,3,Atendimento 24 horas,1
33,4,Atendimento 24 horas,1
33,5,Atendimento 24 horas,1
33,6,Atendimento 24 horas,1
33,0,Atendimento 24 horas,1
